Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-1257	35.62	21.45	124.64	20.59	10.63	16.38	104.76	23.2	38.59	5.38	19.29	14.59	27.06	19.55	110.87
miR-1258	16.57	18.15	177.12	23.54	7.44	7.8	141.2	11.6	31.17	8.84	20.42	18.96	29.86	30.72	95.04
miR-125a-3p	12.42	20.62	78.72	14.71	21.8	17.16	91.1	14.09	44.53	19.22	59	58.34	15.86	30.72	42.24
miR-125a-5p	592.25	590.58	518.23	1115.98	593.94	901.62	683.22	640.51	5802.07	698.57	6938.23	7486.95	970.31	648	554.37
miR-125b-5p	5118.18	2184.14	10968.13	9165.15	3675.28	17377.22	10972.53	968.64	14026.5	5507.82	26100.9	33088.15	9353.19	4847.42	12365.19
miR-126-3p	1717.93	4858.23	5556.23	1949.53	4551.02	1938.17	13559.66	16901.87	10015.96	4726.59	7960.53	8726.75	2449.09	2255.43	8183.63
miR-1260a	213.71	336.53	275.52	105.91	250.44	118.55	218.63	159.92	37.11	195.31	93.04	68.55	104.49	111.72	327.35
miR-1260b	13.25	18.97	59.04	14.71	9.04	14.04	81.99	17.4	47.5	10.76	91.9	67.1	26.12	19.55	42.24
miR-1261	4.97	9.07	59.04	11.77	7.98	3.12	40.99	11.6	22.26	6.92	20.42	27.71	7.46	12.57	21.12
miR-1262	5.8	14.85	85.28	9.81	4.79	3.9	40.99	18.23	37.11	8.46	32.9	33.55	11.2	15.36	47.52
miR-1263	8.28	5.77	72.16	4.9	4.25	9.36	31.88	9.11	14.84	5.38	13.62	14.59	4.66	4.19	95.04
miR-1264	19.88	23.1	98.4	17.65	18.08	21.06	100.21	22.37	43.04	10.38	21.56	32.09	26.12	39.1	79.2
miR-1265	11.6	20.62	65.6	18.63	15.42	13.26	77.43	19.89	37.11	5.38	19.29	16.04	23.32	26.53	73.92
miR-1266	7.45	14.02	65.6	12.75	11.17	10.14	50.1	14.09	25.23	5.77	27.23	24.8	15.86	27.93	31.68
miR-1267	24.02	14.85	111.52	13.73	8.51	6.24	81.99	10.77	25.23	6.92	22.69	23.34	13.06	19.55	89.76
miR-1268a	12.42	31.34	150.88	13.73	19.14	18.72	118.42	27.34	54.92	11.92	36.31	35.01	22.39	44.69	95.04
miR-1268b	19.05	19.8	85.28	17.65	15.42	13.26	77.43	12.43	23.75	5.38	14.75	18.96	20.53	18.16	68.64
miR-1269a	11.6	11.55	59.04	8.83	5.85	5.46	59.21	11.6	29.69	6.15	24.96	21.88	17.73	20.95	79.2
miR-1269b	14.08	19.8	98.4	10.79	9.04	10.14	50.1	19.06	26.72	8.84	20.42	24.8	13.06	11.17	63.36
miR-127-3p	238.56	155.89	190.24	280.47	255.23	280.78	77.43	125.95	296.86	128.03	267.77	334.02	271.5	256.97	126.71
miR-127-5p	15.74	13.2	72.16	12.75	5.32	13.26	54.66	13.26	40.08	5	13.62	29.17	19.59	13.97	63.36
miR-1270	7.45	8.25	65.6	15.69	7.44	6.24	91.1	14.91	63.82	15.76	64.67	72.93	18.66	16.76	52.8
miR-1271-5p	13.25	11.55	91.84	14.71	7.98	10.92	81.99	11.6	23.75	7.3	31.77	23.34	17.73	20.95	79.2
miR-1272	23.19	20.62	137.76	18.63	11.17	14.04	109.32	19.89	26.72	10	35.17	17.5	21.46	26.53	100.32
miR-1273a	19.05	24.74	124.64	26.48	19.67	18.72	68.32	27.34	37.11	14.61	34.04	40.84	28.92	18.16	84.48
miR-1273c	4.14	4.95	72.16	12.75	4.25	3.12	50.1	14.09	35.62	11.15	35.17	40.84	4.66	15.36	47.52
miR-1273d	16.57	19.8	170.56	13.73	4.25	13.26	63.77	14.09	17.81	4.23	24.96	10.21	20.53	20.95	100.32
miR-1273e	4.97	4.12	39.36	3.92	2.13	3.9	40.99	7.46	13.36	3.84	11.35	13.13	6.53	9.78	26.4
miR-1273f	10.77	8.25	85.28	4.9	4.79	7.8	27.33	6.63	31.17	4.23	12.48	20.42	10.26	13.97	52.8
miR-1273g-5p	4.97	9.9	78.72	14.71	6.38	8.58	45.55	9.94	10.39	3.84	10.21	13.13	14.93	11.17	63.36
miR-1275	16.57	19.8	124.64	23.54	9.57	20.28	63.77	25.69	37.11	10	35.17	29.17	19.59	29.33	84.48
miR-1276	19.05	21.45	98.4	20.59	14.89	17.94	81.99	19.89	28.2	6.15	26.1	30.63	21.46	27.93	63.36
miR-1277-3p	14.08	14.85	144.32	16.67	9.57	15.6	127.53	19.89	38.59	10	14.75	29.17	16.79	32.12	95.04
miR-1278	6.63	10.72	91.84	9.81	6.38	6.24	54.66	16.57	41.56	3.46	19.29	18.96	15.86	16.76	47.52
miR-1279	17.39	25.57	91.84	18.63	16.48	9.36	68.32	19.89	28.2	9.23	24.96	18.96	19.59	30.72	68.64
miR-128	82.83	18.15	124.64	133.37	11.7	152.87	95.65	14.09	544.73	61.51	787.43	793.47	164.21	76.81	89.76
miR-1280	9.11	7.42	131.2	10.79	7.98	4.68	77.43	22.37	23.75	6.92	21.56	16.04	9.33	13.97	58.08
miR-1281	27.33	26.39	150.88	22.55	19.67	18.72	154.86	24.03	47.5	10.76	39.71	30.63	22.39	41.9	110.87
miR-1282	13.25	10.72	104.96	12.75	6.91	10.14	63.77	16.57	31.17	6.15	21.56	29.17	14.93	11.17	52.8
miR-1283	267.55	296.11	6.56	1	530.13	1	4.55	1	1.48	1	1.13	1.46	78.37	1.4	5.28
miR-1284	15.74	21.45	164	14.71	9.57	9.36	81.99	14.91	31.17	13.07	21.56	35.01	24.26	12.57	47.52
miR-1285-3p	1	4.12	72.16	4.9	1	10.14	45.55	1	43.04	10.76	36.31	33.55	13.99	12.57	42.24
miR-1286	48.04	30.52	282.08	24.52	11.17	21.84	122.98	30.66	68.28	10.76	31.77	37.92	54.11	53.07	116.15
miR-1287	3.31	9.9	91.84	5.88	6.91	14.04	72.88	17.4	83.12	8.84	68.08	65.64	17.73	19.55	95.04
miR-1288	19.88	13.2	104.96	14.71	9.04	11.7	81.99	21.54	32.65	4.23	17.02	14.59	24.26	25.14	63.36
miR-1289	7.45	7.42	91.84	9.81	5.32	7.8	45.55	11.6	14.84	3.46	9.08	10.21	7.46	16.76	42.24
miR-129-2-3p	139.16	18.15	216.48	246.14	5.32	266.74	81.99	24.86	1013.77	104.19	1953.82	1744.48	268.7	115.91	100.32
miR-129-5p	34.79	13.2	91.84	54.92	8.51	59.28	50.1	7.46	146.94	27.3	260.96	285.88	57.85	40.5	63.36
miR-1290	25.68	24.74	111.52	14.71	8.51	11.7	81.99	19.89	41.56	13.07	31.77	33.55	30.79	16.76	116.15
miR-1291	15.74	10.72	111.52	16.67	10.1	7.8	54.66	15.74	23.75	8.46	30.63	24.8	12.13	9.78	31.68
miR-1292	7.45	6.6	124.64	9.81	2.66	4.68	45.55	12.43	29.69	7.69	17.02	17.5	5.6	5.59	58.08
miR-1293	10.77	15.67	98.4	20.59	9.04	13.26	91.1	22.37	41.56	8.84	28.37	29.17	23.32	20.95	79.2
miR-1294	12.42	14.02	131.2	13.73	10.63	10.92	63.77	16.57	23.75	8.07	15.88	24.8	12.13	32.12	110.87
miR-1295a	8.28	9.07	104.96	8.83	3.72	12.48	63.77	12.43	28.2	8.07	34.04	37.92	9.33	19.55	100.32
miR-1296	3.31	7.42	85.28	6.86	2.13	6.24	40.99	9.94	20.78	7.69	27.23	21.88	5.6	4.19	68.64
miR-1297	12.42	12.37	72.16	17.65	4.25	7.8	86.54	12.43	50.47	6.54	30.63	26.25	13.99	25.14	42.24
miR-1298	14.91	18.15	118.08	14.71	15.42	14.82	81.99	22.37	41.56	8.07	21.56	18.96	18.66	30.72	52.8
miR-1299	9.94	9.07	78.72	10.79	7.98	5.46	72.88	13.26	25.23	3.46	19.29	21.88	15.86	25.14	58.08
miR-1301	16.57	16.5	124.64	17.65	8.51	17.16	118.42	13.26	43.04	6.15	41.98	36.46	18.66	25.14	52.8
miR-1302	6.63	11.55	65.6	8.83	10.63	4.68	40.99	13.26	37.11	9.23	17.02	16.04	8.4	18.16	42.24
miR-1303	4.14	4.12	26.24	4.9	3.19	4.68	36.44	4.14	16.33	3.08	7.94	11.67	8.4	11.17	31.68
miR-1304-5p	6.63	9.9	98.4	10.79	7.44	6.24	72.88	20.72	25.23	7.3	27.23	23.34	13.99	19.55	36.96
miR-1305	22.36	25.57	157.44	16.67	9.57	13.26	122.98	14.91	43.04	10	26.1	26.25	36.39	27.93	84.48
miR-1306-3p	9.11	9.9	104.96	12.75	6.38	10.14	127.53	8.29	28.2	10.38	26.1	29.17	16.79	15.36	89.76
miR-1307-3p	9.94	10.72	111.52	13.73	8.51	5.46	81.99	14.91	31.17	7.69	36.31	43.76	16.79	15.36	73.92
miR-130a-3p	347.89	582.33	236.16	230.45	462.07	194.99	350.72	658.74	323.57	214.92	314.29	306.3	159.54	300.26	364.3
miR-130b-3p	20.71	26.39	98.4	30.4	28.71	24.18	104.76	24.86	34.14	11.15	19.29	21.88	27.06	18.16	163.67
miR-132-3p	121.76	37.94	190.24	328.52	49.98	545.96	236.85	91.15	4537.46	398.69	3597.89	4260.55	265.9	167.59	200.63
miR-1321	31.48	23.92	164	13.73	15.42	21.06	141.2	30.66	34.14	9.23	34.04	21.88	24.26	26.53	110.87
miR-1322	13.25	12.37	124.64	11.77	4.79	13.26	113.87	10.77	53.43	5.38	37.44	36.46	17.73	25.14	79.2
miR-1323	2916.51	6381.68	196.8	1556.29	6962.39	1676.89	200.41	3809.92	63.82	2907.7	44.25	42.3	1684.97	2390.89	179.51
