Mature_Name	Sample_9	Sample_11	Sample_12	Sample_7	Sample_15	Sample_3	Sample_1	Sample_10	Sample_14	Sample_6	Sample_13	Sample_4	Sample_5	Sample_8	Sample_2
miR-1269a	68.57	57.66	50.54	136.78	182.94	136.38	26.79	14.21	48.39	12.61	40.95	20.39	13.51	26.8	26.67
miR-1269b	61.72	47.18	57.28	115.74	146.35	227.3	32.53	20.43	25.81	23.42	30.17	24.92	20.88	44.02	45.73
miR-127-3p	685.74	618.55	771.58	178.87	292.71	439.45	551.06	295.74	593.59	648.6	627.16	647.88	589.58	290.94	360.11
miR-127-5p	92.57	31.45	67.39	126.26	146.35	166.69	36.35	11.55	32.26	30.63	45.26	29.45	12.28	30.63	30.49
miR-1270	147.43	149.4	168.47	210.43	121.96	151.53	17.22	36.41	38.71	14.41	43.1	36.24	17.2	34.45	19.05
miR-1271-5p	54.86	73.39	53.91	189.39	182.94	212.15	30.61	16.87	48.39	25.22	40.95	33.98	18.42	26.8	26.67
miR-1272	61.72	81.25	40.43	252.52	231.73	318.22	53.58	23.09	61.29	32.43	49.57	43.04	25.79	45.94	47.63
miR-1273a	85.72	78.63	94.34	157.82	195.14	287.91	44.01	33.75	41.94	43.24	66.81	61.16	45.45	63.16	57.16
miR-1273c	82.29	81.25	94.34	115.74	109.77	166.69	9.57	25.76	35.49	7.21	10.78	29.45	9.83	32.54	11.43
miR-1273d	41.14	57.66	23.59	147.3	231.73	393.99	38.27	9.77	48.39	30.63	47.41	31.71	9.83	32.54	45.73
miR-1273e	30.86	26.21	30.32	94.69	60.98	90.92	11.48	8.88	22.58	9.01	15.09	9.06	4.91	17.23	9.53
miR-1273f	72	28.83	47.17	63.13	121.96	196.99	24.87	9.77	32.26	18.02	23.71	11.33	11.05	15.31	19.05
miR-1273g-5p	24	23.59	30.32	105.22	146.35	181.84	11.48	8.88	25.81	19.82	34.48	33.98	14.74	22.97	22.86
miR-1275	85.72	81.25	67.39	147.3	195.14	287.91	38.27	23.09	67.75	46.84	45.26	54.37	22.11	59.34	45.73
miR-1276	65.15	60.28	70.76	189.39	146.35	227.3	44.01	14.21	64.52	41.44	49.57	47.57	34.39	45.94	49.54
miR-1277-3p	89.15	34.07	67.39	294.6	219.53	333.37	32.53	23.09	74.2	36.03	38.79	38.51	22.11	45.94	34.3
miR-1278	96	44.56	43.8	126.26	109.77	212.15	15.31	7.99	38.71	14.41	36.64	22.65	14.74	38.28	24.77
miR-1279	65.15	57.66	43.8	157.82	158.55	212.15	40.18	21.31	70.97	21.62	45.26	43.04	38.08	45.94	59.07
miR-128	1258.33	1818.96	1832.92	220.95	207.34	287.91	191.34	142.1	177.43	353.13	379.31	308.08	27.02	32.54	41.92
miR-1280	54.86	49.8	37.06	178.87	134.16	303.07	21.05	15.99	32.26	10.81	21.55	24.92	18.42	51.68	17.15
miR-1281	109.72	91.73	70.76	357.73	256.12	348.53	63.14	24.87	96.78	43.24	51.72	52.1	45.45	55.51	60.97
miR-1282	72	49.8	67.39	147.3	121.96	242.45	30.61	14.21	25.81	23.42	34.48	29.45	15.97	38.28	24.77
miR-1283	3.43	2.62	3.37	10.52	12.2	15.15	618.03	1	3.23	1.8	181.04	2.27	1224.6	1.91	684.02
miR-1284	72	49.8	80.86	189.39	109.77	378.83	36.35	30.2	29.03	21.62	56.04	33.98	22.11	34.45	49.54
miR-1285-3p	99.43	83.87	77.49	105.22	97.57	166.69	1.91	24.87	29.03	23.42	32.33	11.33	1.23	1.91	9.53
miR-1286	157.72	73.39	87.6	284.08	268.32	651.59	110.98	24.87	122.59	50.45	125	56.63	25.79	70.82	70.5
miR-1287	192.01	157.26	151.62	168.35	219.53	212.15	7.65	20.43	45.16	32.43	40.95	13.59	15.97	40.2	22.86
miR-1288	75.43	39.31	33.69	189.39	146.35	242.45	45.92	9.77	58.07	27.03	56.04	33.98	20.88	49.77	30.49
miR-1289	34.29	20.97	23.59	105.22	97.57	212.15	17.22	7.99	38.71	18.02	17.24	22.65	12.28	26.8	17.15
miR-129-2-3p	2341.8	4513.33	4029.74	189.39	231.73	500.06	321.45	240.68	267.76	616.17	620.7	568.59	12.28	57.42	41.92
miR-129-5p	339.44	602.83	660.39	115.74	146.35	212.15	80.36	63.06	93.55	136.93	133.62	126.86	19.65	17.23	30.49
miR-1290	96	73.39	77.49	189.39	268.32	257.61	59.32	30.2	38.71	27.03	71.12	33.98	19.65	45.94	57.16
miR-1291	54.86	70.77	57.28	126.26	73.18	257.61	36.35	19.54	22.58	18.02	28.02	38.51	23.34	36.37	24.77
