Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-185-5p	3777	4673	1541	3915	5761	3255	1685	6522	4264	4863	3346	4903	3661	4225	1733
miR-335-5p	4757	8827	371	2456	9972	2434	331	11892	1147	5319	964	1255	2888	5034	414
miR-520c-5p	5605	10021	18	2979	9436	2774	22	10215	19	7026	18	15	3025	5976	14
miR-518d-5p	5605	10004	17	2974	9396	2773	22	10172	19	7018	17	16	3025	5976	14
miR-378i	3441	2180	4251	3570	1623	3238	11231	1415	812	4789	636	675	3841	4204	10935
miR-518f-5p	5610	9907	19	2909	9219	2705	18	10215	21	6912	18	16	3012	5905	20
miR-323a-3p	2827	1189	82	5556	1137	4803	112	1235	8915	3801	7161	10620	5848	2997	118
miR-518c-5p	5053	9360	9	2831	9613	2375	20	10605	11	6596	9	19	2716	5864	21
miR-433-3p	2912	1928	63	5127	1712	4430	89	1997	8182	3891	6472	9610	5251	3316	92
miR-95-3p	2161	145	818	5316	208	4183	645	203	10211	3210	8203	11516	4770	2743	667
miR-144-5p	4866	8516	122	2657	9041	2255	107	10616	520	5517	428	596	2632	5086	100
miR-330-3p	1862	372	132	4410	486	3592	111	524	11017	2761	8603	12458	3970	2215	106
miR-28-3p	2941	3101	4688	3391	3877	2551	4346	4410	2542	3869	2000	2999	3173	3311	4606
miR-142-5p	4416	5805	2267	3065	5512	2643	2989	6329	819	5117	681	839	3184	4639	3252
miR-521	4560	10484	12	1986	9276	1926	22	10835	12	5276	10	14	2196	4524	20
miR-483-3p	4801	8961	500	2375	7640	2442	694	9191	43	5703	32	64	2804	4750	820
miR-1307-3p	2485	1991	2545	3827	2302	3003	2350	2557	6103	3428	4634	6837	3464	2690	2229
miR-342-3p	3057	1498	711	4358	1526	4266	938	1696	6677	3501	5610	7311	4941	3175	1019
miR-487b-3p	3354	3567	112	4028	3130	3803	142	3420	5147	4208	4305	5693	4528	3703	168
let-7d-3p	2272	370	714	4648	342	4259	880	400	7952	2752	6352	9201	5277	2487	994
miR-92b-3p	2214	397	68	4740	428	4220	108	466	8447	2845	6831	10181	4961	2335	123
miR-424-3p	4361	5876	679	3147	6267	2782	726	7177	147	6075	96	178	3422	5052	771
miR-363-3p	2961	3479	276	3363	4050	2925	245	4586	4460	3929	3633	5224	3335	3435	238
miR-498	4129	9194	7	1691	8457	1603	9	9669	9	4833	6	12	1862	4151	5
miR-34c-5p	3193	4680	63	3408	5339	2688	72	5648	3069	4514	2593	3465	3060	3636	28
miR-200b-3p	1756	1052	10299	1954	938	1644	9356	1063	351	2358	292	417	1898	2037	9424
miR-125b-2-3p	1983	286	1189	4183	320	3457	1397	333	6171	2780	4814	7039	4118	2321	1416
miR-423-5p	2492	2398	1815	3118	2323	2795	2390	2492	3089	3478	2295	3634	3529	3006	2477
miR-28-5p	2441	3048	3678	1987	4179	1722	2888	4756	1467	3421	1350	1857	2138	2904	3049
miR-484	2062	1565	1071	2771	1529	2663	1396	1912	5225	2510	4817	6007	3199	2286	1601
miR-574-3p	2581	2857	2612	2367	3743	2087	2284	4330	2272	3107	1870	2436	2538	2856	2502
miR-520d-3p	3000	6731	9	1691	7524	1430	5	8257	6	4495	3	5	1740	3696	8
miR-520h	3454	7503	4	1624	6710	1473	19	7710	8	4237	7	10	1727	3574	13
miR-410-3p	2895	4277	47	2542	3875	2515	80	4391	2501	3422	2214	2653	2932	3228	75
miR-542-3p	2900	5618	294	1727	7778	1255	234	8299	100	3859	86	118	1540	3466	235
miR-136-5p	2705	4772	150	2115	5892	1743	136	6831	1607	3468	1194	1655	1971	3068	145
miR-320b	2087	2046	816	2698	2024	2330	814	2470	4308	2894	3483	5123	3102	2337	899
miR-141-3p	2999	5905	78	1526	7421	1425	79	8686	7	3891	3	15	1651	3443	113
miR-452-5p	2746	5476	287	1755	7534	1355	237	8133	65	4111	74	107	1590	3540	232
miR-195-5p	2028	1023	1341	2615	1234	2488	1203	1532	5058	2310	4276	5402	3025	2211	1418
miR-138-5p	1795	242	24	3406	270	3218	29	283	6663	2398	5568	7147	3717	1928	31
miR-338-3p	1867	46	54	3817	31	3558	38	38	6444	2349	5316	6859	4118	2044	59
miR-409-3p	1975	2006	499	3049	1963	2480	658	2196	4145	2868	3420	5113	3201	2401	637
miR-193b-3p	2981	5815	667	1774	5454	1561	865	6078	409	3824	321	436	1743	3204	883
miR-146a-5p	2381	2490	2049	2275	2493	2035	3010	2693	1548	3119	1374	1684	2506	2733	3129
miR-654-3p	2202	2463	575	2729	2595	2160	680	2886	3437	2954	2810	3914	2653	2526	734
miR-769-5p	1777	537	163	3945	582	2702	187	623	5318	2623	4301	6107	3449	2102	177
miR-106b-3p	2503	2998	798	2464	2935	2129	986	3157	2383	3097	1916	2769	2574	2706	1084
miR-934	2715	5676	11	1503	7006	1215	10	7820	2	3591	2	8	1441	3107	10
miR-99b-3p	1874	1586	205	2927	1699	2326	188	1906	4228	2843	3273	4991	2784	2170	196
miR-598-3p	1366	58	103	2851	68	2619	75	99	6230	1672	5836	7560	2947	1393	118
