Mature_Name	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15
miR-141-3p	45	63	1	26	80	21	2	67	NA	48	NA	1	19	51	NA
miR-141-5p	165	206	4	82	236	84	1	190	1	136	NA	NA	59	134	1
miR-142-3p	171	180	108	88	158	84	113	145	14	115	13	15	58	90	55
miR-143-3p	567	546	154	249	733	273	144	646	74	483	77	76	327	528	106
miR-143-5p	74	89	9	43	89	31	13	74	12	64	11	11	37	46	9
miR-144-5p	883	887	24	379	966	288	21	818	65	628	78	55	364	559	19
miR-145-3p	587	544	327	346	634	351	268	465	158	400	118	88	237	344	151
miR-145-5p	276	316	92	138	375	116	71	320	43	158	33	34	115	172	38
miR-1468-5p	8	4	48	16	NA	16	38	3	19	11	19	9	14	8	21
miR-146a-3p	2	NA	4	1	NA	1	1	1	NA	1	NA	1	1	1	NA
miR-146a-5p	66	29	246	47	26	49	139	24	27	50	36	30	50	40	35
miR-146b-5p	68	29	276	55	29	50	158	24	29	53	37	33	56	45	46
miR-147b	3	3	1	NA	1	2	1	2	1	2	1	NA	2	NA	NA
miR-148a-3p	14984	4504	63282	10510	5413	10920	51764	4598	584	11103	593	532	10547	11129	32603
miR-148a-5p	13	5	38	10	7	6	35	7	2	12	NA	NA	8	6	33
miR-148b-3p	17185	6755	63898	11853	7961	12165	52025	6738	1306	12596	1359	1178	11644	12650	32875
miR-148b-5p	23	32	18	21	24	18	11	13	10	19	14	8	14	23	8
miR-149-5p	2016	1206	25	1927	1508	1795	21	1359	1773	1547	1803	1439	1535	1427	14
miR-150-5p	1	1	1	1	3	3	4	1	3	NA	NA	1	1	2	2
miR-151a-3p	12	2	8	13	11	15	7	4	18	8	15	13	11	10	2
miR-151a-5p	6334	2935	4499	7560	3694	7386	3806	3031	9476	5235	9526	7889	6085	4747	2427
miR-152-3p	2393	2316	1441	1447	2618	1376	1211	2180	730	1627	770	646	1232	1657	701
miR-152-5p	22	32	18	21	24	17	11	13	10	19	14	8	14	23	8
miR-153-5p	1	NA	NA	5	NA	4	NA	NA	5	1	8	3	2	3	NA
miR-1538	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-154-5p	75	81	4	45	101	46	6	85	28	59	28	20	43	66	2
miR-155-5p	2	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA
miR-15a-5p	1038	625	606	870	815	814	519	745	879	832	861	700	740	801	328
miR-15b-5p	1036	626	601	867	814	812	516	743	874	829	856	696	736	796	327
miR-16-5p	12760	9418	7191	10010	10321	9703	6688	9705	8432	10033	8296	6945	8430	9479	3979
miR-17-3p	34	16	59	25	21	20	42	20	14	26	11	6	20	24	25
miR-17-5p	789	714	924	570	772	528	738	626	329	583	293	261	501	563	459
miR-181a-2-3p	446	352	92	300	457	356	77	367	371	333	374	291	305	362	55
miR-181a-3p	661	307	56	704	458	618	46	333	854	520	890	694	639	491	28
miR-181a-5p	92552	48552	7471	102112	58984	94562	6039	44646	145117	74690	142466	115490	99822	70632	3862
miR-181b-3p	6	1	2	NA	2	4	1	4	8	5	1	4	3	5	1
miR-181b-5p	95428	48951	7693	106711	59563	98571	6245	45213	151952	77019	149557	121442	103633	72838	3991
miR-181c-3p	669	308	56	711	459	620	46	331	863	516	895	698	634	489	27
miR-181c-5p	2753	735	237	3713	846	3513	218	685	5975	2054	6456	5276	3570	2084	119
miR-181d-5p	3901	1030	313	5741	1258	5123	279	1018	8505	3147	8759	7320	4949	2984	173
miR-182-5p	4	2	NA	2	3	NA	NA	2	NA	5	NA	NA	NA	NA	NA
miR-183-3p	5	3	NA	NA	5	NA	1	NA	NA	1	NA	NA	1	2	1
miR-183-5p	168	244	17	74	248	67	10	177	19	99	10	4	45	90	3
miR-184	6	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
miR-185-3p	2	2	1	6	5	6	1	6	5	10	8	6	6	2	3
miR-185-5p	45	33	18	41	25	25	17	28	52	27	40	36	27	32	8
miR-186-3p	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	2	NA
miR-186-5p	1304	1117	804	864	1198	844	716	971	663	946	629	509	694	854	404
